# id	left	top	right	bottom	texture_id
[SPRITES]
#############  BIG ###############

#HALF BIG RIGHT
11124	30	175	43	196	60
#HALF BIG LEFT
11125	372	27	385	48	60

#IDLE
11121	402	169	415	196	60
11111	0	21	13	48	60

#WALKING RIGHT
11222	382	169	397	196	60
11223	364	169	379	196	60

#WALKING LEFT
11212	18	21	33	48	60
11213	36	21	51	48	60

#RUNNING RIGHT
11321	306	169	325	196	60
11322	280	169	299	196	60
11323	254	169	273	196	60

#RUNNING LEFT
11311	90	21	109	48	60
11312	116	21	135	48	60
11313	142	21	161	48	60

#JUMP WALK RIGHT & LEFT
11417	328	169	343	196	60
11413	72	21	87	48	60

#FALL WALK RIGHT & LEFT (use when fall)
#11223	364	169	379	196	60
#11213	36	21	51	48	60

#JUMP RUN RIGHT & LEFT
11427	228	169	247	196	60
11423	168	21	187	48	60

#SIT RIGHT & LEFT
11521	348	179	361	196	60
11511	54	31	67	48	60

#BRACE RIGHT & LEFT
11621	206	169	221	196	60
11611	194	21	209	48	60

#KICK RIGHT & LEFT
11721	107	170	128	197	60
11722	287	22	308	49	60

#HOLD RIGHT
11751	172	169	185	196	60

#HOLD LEFT
11752	230	21	243	48	60

#HOLD FRONT
11753	212	21	227	48	60

#HOLD WALK LEFT
11754	248	22	263	48	60
11755	266	21	281	48	60

#HOLD WALK RIGHT
11756	153	169	168	196	60
11757	134	169	149	196	60

#DIE
13001	184	148	199	163	60

############ SMALL ################
 #IDLE
12121	400	149	413	164	60
12111	2	1	13	16	60

#WALK RIGHT
12222	382	147	397	164	60
12223	364	147	379	164	60

#WALK LEFT
12212	19	0	34	15	60
12213	1	0	16	15	60

#RUN RIGHT
12321	364	147	379	164	60
12322	382	147	397	164	60
12323	346	147	361	164	60

#RUN LEFT
12311	36	0	51	15	60
12312	18	1	33	16	60
12313	54	1	69	16	60

#BRACE RIGHT & LEFT
12511	292	148	307	163	60
12521	108	0	123	15	60

#JUMP WALK RIGHT & LEFT
12413	72	1	87	16	60
12417	328	147	343	164	60

#JUMP RUN RIGHT & LEFT
12423	90	1	105	16	60
12427	310	147	325	164	60

#KICK RIGHT & LEFT
12433	220	148	235	163	60
12435	180	0	195	15	60

#HOLD RIGHT
12441	258	148	271	163	60

#HOLD LEFT
12442	144	0	157	15	60

#HOLD FRONT
12443	126	0	141	15	60

#HOLD WALK RIGHT
12444	238	148	253	163	60

#HOLD WALK LEFT
12445	162	0	177	15	60

############ RACCOON ################
 #IDLE RIGHT & LEFT
13222	394	235	415	262	60
13212	0	87	21	114	60

#WALK RIGHT
13223	368	235	389	262	60
13224	340	235	363	262	60

#WALK LEFT
13213	26	87	47	114	60
13214	51	87	74	114	60

#RUN RIGHT
13321	210	235	233	262	60
13322	184	235	207	262	60
13323	158	235	181	262	60

#RUN LEFT
13311	182	87	205	114	60
13312	208	87	231	114	60
13313	234	87	257	114	60

#BRACE RIGHT & LEFT
13520	62	233	77	262	60
13521	338	85	353	114	60

#JUMP WALK RIGHT UP & DOWN
13413	288	234	311	261	60
13414	262	234	285	261	60

#JUMP WALK LEFT UP & DOWN
13417	104	86	127	113	60
13418	130	86	153	113	60

#JUMP RUN RIGHT UP MID DOWN
13423	132	235	155	262	60
13424	106	235	129	262	60
13425	80	235	103	262	60

#JUMP RUN LEFT UP MID DOWN
13427	260	87	283	114	60
13428	287	87	309	114	60
13429	312	87	335	114	60

#SIT RIGHT & LEFT
13441	316	245	337	262	60
